AccessID,Country,State,County,Clonal_grp,Countcc ,countmap,lat,long,color
19002,USA,VT,Addison,8,0,3,44.0499998,-73.116666,#66A61E
19003,USA,VT,Addison,8,0,3,44.0499998,-73.116666,#66A61E
19004,USA,VT,Addison,8,0,3,44.0499998,-73.116666,#66A61E
16206,USA,NY,Allegany,0,1,0,42.25,-78.02,#E7298A
18010,USA,NY,Allegany,13,0,2,42.25,-78.02,#E7298A
19001,USA,NY,Allegany,2,0,2,42.25,-78.02,#E7298A
19001-2,USA,NY,Allegany,2,0,2,42.25,-78.02,#E7298A
pf76,USA,MN,Anoka ,1,0,5,45.27,-93.24,#D95F02
pf77,USA,MN,Anoka ,1,0,5,45.27,-93.24,#D95F02
pf77-2,USA,MN,Anoka ,1,0,5,45.27,-93.24,#D95F02
pf78,USA,MN,Anoka ,1,0,5,45.27,-93.24,#D95F02
pf78-2,USA,MN,Anoka ,1,0,5,45.27,-93.24,#D95F02
pf79,USA,MN,Anoka ,1,0,5,45.27,-93.24,#D95F02
pf79-2,USA,MN,Anoka ,1,0,5,45.27,-93.24,#D95F02
pf91,USA,MN,Anoka ,1,0,5,45.27,-93.24,#D95F02
pf84,USA,MN,Benton,18,0,2,45.7,-94,#D95F02
pf85,USA,MN,Benton ,4,0,2,45.7,-94,#D95F02
19017,USA,NY,Chautauqua ,2,0,1,42.3,-79.41,#E7298A
16163,USA,NY,Clinton,0,13,0,44.74,-73.68,#E7298A
16195,USA,NY,Clinton,0,4,0,44.74,-73.68,#E7298A
17049,USA,NY,Clinton,2,0,2,44.74,-73.68,#E7298A
18009,USA,NY,Clinton,2,0,2,44.74,-73.68,#E7298A
15013,USA,NY,Clinton ,0,0,0,44.74,-73.68,#E7298A
15022,USA,NY,Columbia,0,13,0,42.25,-73.63,#E7298A
15017-2,USA,NY,Columbia,0,0,0,42.25,-73.63,#E7298A
15017,USA,NY,Columbia ,0,13,0,42.25,-73.63,#E7298A
15022-2,USA,NY,Columbia ,0,0,0,42.25,-73.63,#E7298A
pf93,USA,MN,Douglas,1,0,2,45.94,-95.45,#D95F02
pf90,USA,MN,Douglas ,1,0,2,45.94,-95.45,#D95F02
17057,USA,NY,Dutchess ,16,0,1,41.76,-73.75,#E7298A
15010,USA,NY,Essex,0,13,0,44.11,-73.77,#E7298A
16097,USA,NY,Essex,0,13,0,44.11,-73.77,#E7298A
16185,USA,NY,Essex,0,4,0,44.11,-73.77,#E7298A
16187,USA,NY,Essex,0,3,0,44.11,-73.77,#E7298A
15005,USA,NY,Essex ,0,2,0,44.11,-73.77,#E7298A
15006,USA,NY,Essex ,0,13,0,44.11,-73.77,#E7298A
15011,USA,NY,Essex ,0,0,0,44.11,-73.77,#E7298A
17040,USA,NY,Essex ,7,0,3,44.11,-73.77,#E7298A
18019,USA,NY,Essex ,7,0,3,44.11,-73.77,#E7298A
19009,USA,NY,Essex ,9,0,3,44.11,-73.77,#E7298A
15011-2,USA,NY,Essex ,0,0,0,44.11,-73.77,#E7298A
19008,USA,NY,Fulton ,5,0,1,43.11,-74.42,#E7298A
17046,USA,NY,Gennesee,2,0,1,43,-78.19,#E7298A
19006,USA,MA,Hampshire,11,0,1,42.34,-72.66,#1B9E77
19006-2,USA,MA,Hampshire,11,0,1,42.34,-72.66,#1B9E77
pf88,USA,MN,McLeod,4,0,3,44.76913,-94.15164,#D95F02
pf89,USA,MN,McLeod ,4,0,3,44.76913,-94.15164,#D95F02
pf92,USA,MN,McLeod ,4,0,3,44.76913,-94.15164,#D95F02
pf92-2,USA,MN,McLeod ,4,0,3,44.76913,-94.15164,#D95F02
18012,USA,NH,Merrimack ,14,0,1,42.86509,-71.4934,#7570B3
17035,USA,NY,Monroe,2,0,1,43.3,-77.69,#E7298A
17035-2,USA,NY,Monroe,2,0,1,43.3,-77.69,#E7298A
18013,USA,NY,Montgomery,15,0,1,42.91,-74.44,#E7298A
pf81,USA,MN,Mower ,1,0,1,43.67,-92.75,#D95F02
pf81-2,USA,MN,Mower ,1,0,1,43.67,-92.75,#D95F02
16239,USA,NY,Oneida,0,0,0,43.24,-75.44,#E7298A
15023,USA,NY,Onondaga,0,0,0,43.01,-76.2,#E7298A
15026,USA,NY,Onondaga,0,0,0,43.01,-76.2,#E7298A
15025,USA,NY,Onondaga ,0,0,0,43.01,-76.2,#E7298A
15028,USA,NY,Onondaga ,0,1,0,43.01,-76.2,#E7298A
16139,USA,NY,Ontario,10,0,3,42.85,-77.29,#E7298A
16184,USA,NY,Ontario,0,13,0,42.85,-77.29,#E7298A
16271,USA,NY,Ontario,0,4,0,42.85,-77.29,#E7298A
17043,USA,NY,Ontario,9,0,3,42.85,-77.29,#E7298A
18025,USA,NY,Ontario ,10,0,3,42.85,-77.29,#E7298A
17036,USA,NY,Orange,3,0,4,41.4,-74.31,#E7298A
17037,USA,NY,Orange,3,0,4,41.4,-74.31,#E7298A
