AccessID,Country,State,County,clonal_grp,count,countmap,lat,long,color
16139,USA,NY,Ontario,10,2,3,42.85,-77.29,#E7298A
17035,USA,NY,Monroe,2,7,1,43.3,-77.69,#E7298A
17036,USA,NY,Orange,3,5,4,41.4,-74.31,#E7298A
17037,USA,NY,Orange,3,5,4,41.4,-74.31,#E7298A
17038,USA,NY,Orange,3,5,4,41.4,-74.31,#E7298A
17040,USA,NY,Essex ,7,3,3,44.11,-73.77,#E7298A
17043,USA,NY,Ontario,9,2,3,42.85,-77.29,#E7298A
17046,USA,NY,Gennesee,2,7,1,43,-78.19,#E7298A
17049,USA,NY,Clinton,2,7,2,44.74,-73.68,#E7298A
17052,USA,NY,Suffolk,5,3,2,40.94,-72.68,#E7298A
17053,USA,NY,Suffolk ,5,3,2,40.94,-72.68,#E7298A
17057,USA,NY,Dutchess ,16,1,1,41.76,-73.75,#E7298A
18005,USA,MA,Worcester,17,1,1,42.35,-71.91,#1B9E77
18009,USA,NY,Clinton,2,7,2,44.74,-73.68,#E7298A
18010,USA,NY,Allegany,13,1,2,42.25,-78.02,#E7298A
18012,USA,NH,Merrimack ,14,1,1,42.86509,-71.4934,#7570B3
18013,USA,NY,Montgomery,15,1,1,42.91,-74.44,#E7298A
18019,USA,NY,Essex ,7,3,3,44.11,-73.77,#E7298A
18024,USA,NY,Saratoga ,7,3,1,43.11,-73.87,#E7298A
18025,USA,NY,Ontario ,10,2,3,42.85,-77.29,#E7298A
19001,USA,NY,Allegany,2,7,2,42.25,-78.02,#E7298A
19002,USA,VT,Addison,8,3,3,44.0499998,-73.116666,#66A61E
19003,USA,VT,Addison,8,3,3,44.0499998,-73.116666,#66A61E
19004,USA,VT,Addison,8,3,3,44.0499998,-73.116666,#66A61E
19006,USA,MA,Hampshire,11,1,1,42.34,-72.66,#1B9E77
19008,USA,NY,Fulton ,5,3,1,43.11,-74.42,#E7298A
19009,USA,NY,Essex ,9,2,3,44.11,-73.77,#E7298A
19010,USA,NH,Strafford,6,4,5,43.29,-71.03,#7570B3
19011,USA,NH,Strafford,6,4,5,43.29,-71.03,#7570B3
19012,USA,NH,Strafford,6,4,5,43.29,-71.03,#7570B3
19013,USA,NH,Strafford,2,7,5,43.29,-71.03,#7570B3
19014,USA,NH,Strafford,6,4,5,43.29,-71.03,#7570B3
19016,USA,NY,Orange ,3,5,4,41.4,-74.31,#E7298A
19017,USA,NY,Chautauqua ,2,7,1,42.3,-79.41,#E7298A
19018,USA,NY,Tompkins ,3,5,1,42.45,-76.47,#E7298A
17035-2,USA,NY,Monroe,2,7,1,43.3,-77.69,#E7298A
17052-2,USA,NY,Suffolk,5,3,2,40.94,-72.68,#E7298A
19001-2,USA,NY,Allegany,2,7,2,42.25,-78.02,#E7298A
19006-2,USA,MA,Hampshire,11,1,1,42.34,-72.66,#1B9E77
19016-2,USA,NY,Orange ,3,5,4,41.4,-74.31,#E7298A
19018-2,USA,NY,Tompkins ,3,5,1,42.45,-76.47,#E7298A
pf76,USA,MN,Anoka ,1,8,5,45.27,-93.24,#D95F02
pf77,USA,MN,Anoka ,1,8,5,45.27,-93.24,#D95F02
pf77-2,USA,MN,Anoka ,1,8,5,45.27,-93.24,#D95F02
pf78,USA,MN,Anoka ,1,8,5,45.27,-93.24,#D95F02
pf78-2,USA,MN,Anoka ,1,8,5,45.27,-93.24,#D95F02
pf79,USA,MN,Anoka ,1,8,5,45.27,-93.24,#D95F02
pf79-2,USA,MN,Anoka ,1,8,5,45.27,-93.24,#D95F02
pf80,USA,MN,St. Louis ,12,2,2,47.58,-92.46,#D95F02
pf81,USA,MN,Mower ,1,8,1,43.67,-92.75,#D95F02
pf81-2,USA,MN,Mower ,1,8,1,43.67,-92.75,#D95F02
pf82,USA,MN,St. Louis ,12,2,2,47.58,-92.46,#D95F02
pf84,USA,MN,Benton,18,1,2,45.7,-94,#D95F02
pf85,USA,MN,Benton ,4,4,2,45.7,-94,#D95F02
pf88,USA,MN,McLeod,4,4,3,44.76913,-94.15164,#D95F02
pf89,USA,MN,McLeod ,4,4,3,44.76913,-94.15164,#D95F02
pf90,USA,MN,Douglas ,1,8,2,45.94,-95.45,#D95F02
pf91,USA,MN,Anoka ,1,8,5,45.27,-93.24,#D95F02
pf92,USA,MN,McLeod ,4,4,3,44.76913,-94.15164,#D95F02
pf92-2,USA,MN,McLeod ,4,4,3,44.76913,-94.15164,#D95F02
pf93,USA,MN,Douglas,1,8,2,45.94,-95.45,#D95F02
